,state_name,active,positive,cured,death,new_active,new_positive,new_cured,new_death,state_code
0,Andaman and Nicobar Islands,192,4305,4054,59,182,4317,4076,59,35
1,Andhra Pradesh,26268,817679,784752,6659,25514,820565,788375,6676,28
2,Arunachal Pradesh,2008,14668,12623,37,1938,14752,12777,37,12
3,Assam,11138,205635,193574,923,10421,206015,194668,926,18
4,Bihar,8058,214242,205108,1076,7897,215327,206346,1084,10
5,Chandigarh,665,14292,13402,225,657,14351,13469,225,04
6,Chhattisgarh,22331,183588,159268,1989,22350,185306,160918,2038,22
7,Dadra and Nagar Haveli and Daman and Diu,49,3243,3192,2,49,3248,3197,2,26
8,Delhi,30952,375753,338378,6423,32363,381644,342811,6470,07
9,Goa,2436,43201,40168,597,2405,43416,40409,602,30
10,Gujarat,13232,170878,153941,3705,13168,171847,154968,3711,24
11,Haryana,11391,163817,150660,1766,11851,165467,151839,1777,06
12,Himachal Pradesh,2768,21476,18402,306,2891,21798,18595,312,02
13,Jammu and Kashmir,6928,93764,85370,1466,6835,94330,86024,1471,01
14,Jharkhand,5294,100964,94787,883,5196,101287,95208,883,20
15,Karnataka,64499,816809,741219,11091,59518,820398,749740,11140,29
16,Kerala,91889,418484,325166,1429,90671,425122,332994,1457,32
17,Ladakh,627,6139,5438,74,627,6194,5493,74,37
18,Lakshadweep,0,0,0,0,0,0,0,0,31
19,Madhya Pradesh,9689,169999,157381,2929,9294,170690,158455,2941,23
20,Maharashtra,128149,1666668,1494809,43710,125971,1672858,1503050,43837,27
21,Manipur,4308,18051,13583,160,4303,18272,13805,164,14
22,Meghalaya,1326,9303,7890,87,1170,9382,8125,87,17
23,Mizoram,435,2694,2258,1,437,2722,2284,1,15
24,Nagaland,1763,8894,7096,35,1598,8945,7308,39,13
25,Odisha,13764,287099,272038,1297,13500,288646,273838,1308,21
26,Puducherry,3720,34761,30449,592,3739,34908,30577,592,34
27,Punjab,4266,132727,124293,4168,4101,133158,124870,4187,03
28,Rajasthan,15554,193419,175977,1888,15251,195213,178064,1898,08
29,Sikkim,268,3893,3558,67,254,3913,3591,68,11
30,Tamil Nadu,24886,719403,683464,11053,23532,722011,687388,11091,33
31,Telengana,18456,237187,217401,1330,18409,238632,218887,1336,36
32,Tripura,1580,30663,28737,346,1493,30717,28878,346,16
33,Uttarakhand,3545,61566,57012,1009,3634,61915,57270,1011,05
34,Uttar Pradesh,24858,477895,446054,6983,24431,480082,448644,7007,09
35,West Bengal,37094,365692,321873,6725,36999,369671,325888,6784,19
